season,date,home,away,market,label,direction,line,actual,won,blended_hit_rate,n_total
1920,2019-08-25,Bournemouth,Man City,away_goals,Man City to score,OVER,0.5,3.0,True,90.0,20
1920,2019-08-25,Bournemouth,Man City,home_corners,Bournemouth corners,UNDER,4.5,4.0,True,85.0,20
1920,2019-08-25,Bournemouth,Man City,away_corners,Man City corners,OVER,3.5,5.0,True,90.0,20
1920,2019-08-25,Bournemouth,Man City,home_sot,Bournemouth shots on target,UNDER,4.5,7.0,False,75.0,20
1920,2019-08-25,Bournemouth,Man City,match_cards,Total match cards,UNDER,4.5,4.0,True,75.0,20
1920,2019-08-25,Tottenham,Newcastle,home_goals,Tottenham to score,OVER,0.5,0.0,False,75.0,20
1920,2019-08-25,Tottenham,Newcastle,away_goals,Newcastle to score,UNDER,2.5,1.0,True,90.0,20
1920,2019-08-25,Tottenham,Newcastle,home_corners,Tottenham corners,OVER,2.5,6.0,True,85.0,20
1920,2019-08-25,Tottenham,Newcastle,away_corners,Newcastle corners,UNDER,6.5,6.0,True,75.0,20
1920,2019-08-25,Tottenham,Newcastle,home_sot,Tottenham shots on target,UNDER,5.5,2.0,True,85.0,20
1920,2019-08-25,Tottenham,Newcastle,away_sot,Newcastle shots on target,UNDER,6.5,3.0,True,80.0,20
1920,2019-08-25,Tottenham,Newcastle,match_cards,Total match cards,UNDER,4.5,4.0,True,80.0,20
1920,2019-08-25,Wolves,Burnley,home_goals,Wolves to score,UNDER,2.5,1.0,True,90.0,20
1920,2019-08-25,Wolves,Burnley,away_goals,Burnley to score,UNDER,2.5,1.0,True,85.0,20
1920,2019-08-25,Wolves,Burnley,home_corners,Wolves corners,OVER,3.5,4.0,True,75.0,20
1920,2019-08-25,Wolves,Burnley,away_corners,Burnley corners,UNDER,6.5,3.0,True,80.0,20
1920,2019-08-25,Wolves,Burnley,home_sot,Wolves shots on target,UNDER,6.5,2.0,True,85.0,20
1920,2019-08-25,Wolves,Burnley,away_sot,Burnley shots on target,UNDER,4.5,4.0,True,75.0,20
1920,2019-08-25,Wolves,Burnley,match_cards,Total match cards,UNDER,4.5,2.0,True,75.0,20
1920,2019-08-31,Man City,Brighton,home_goals,Man City to score,OVER,0.5,4.0,True,90.0,20
1920,2019-08-31,Man City,Brighton,away_goals,Brighton to score,UNDER,1.5,0.0,True,90.0,20
1920,2019-08-31,Man City,Brighton,home_corners,Man City corners,OVER,3.5,8.0,True,85.0,20
1920,2019-08-31,Man City,Brighton,away_corners,Brighton corners,UNDER,4.5,1.0,True,80.0,20
1920,2019-08-31,Man City,Brighton,away_sot,Brighton shots on target,UNDER,3.5,2.0,True,80.0,20
1920,2019-08-31,Man City,Brighton,match_cards,Total match cards,UNDER,4.5,2.0,True,75.0,20
